document_name,document_group,issue_or_prepare_place,issue_channel,submit_to,submit_to_local_task_key,submit_to_graph_function_key,required_for,when_needed,prerequisite_summary,graph_requirement_count,graph_document_node_count,source_url,source_title,section_path,source_document_id,chunk_id,evidence_text
개인하수처리시설 설계·시공,소방/LPG/기반시설,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 소방서 또는 관련 기반시설 담당기관,fire_safety_completion,fire_safety,영업에 필요한 기반시설 설치,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=3&cciNo=1&cnpClsNo=2,영업에 필요한 기반시설 설치,영업에 필요한 기반시설 설치 > 하수처리시설의 설치 개인하수처리시설의 설치 오수를 배출하는 건물·시설 등(이하 “건물 등”이라 함)을 설치하는,easylaw_839_body_ov_csmSeq_839_ccfNo_3_cciNo_1_cnpClsNo_2,evchunk_d1a04e0c4c8999,개인하수처리시설을 설치 또는 변경하고자 하는 자는 다음 중 어느 하나에 해당하는 자에게 개인하수처리시설을 설계·시공하도록 해야 합니다( 「하수도법」 제38조 제1항). 1.
개인하수처리시설 설치/증설,소방/LPG/기반시설,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 소방서 또는 관련 기반시설 담당기관,fire_safety_completion,fire_safety,영업에 필요한 기반시설 설치,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=3&cciNo=1&cnpClsNo=2,영업에 필요한 기반시설 설치,영업에 필요한 기반시설 설치 > 하수처리시설의 설치 개인하수처리시설의 설치 오수를 배출하는 건물·시설 등(이하 “건물 등”이라 함)을 설치하는,easylaw_839_body_ov_csmSeq_839_ccfNo_3_cciNo_1_cnpClsNo_2,evchunk_d1a04e0c4c8999,건물 등의 증축 또는 용도변경으로 인해 이미 설치된 개인하수처리시설의 처리용량을 초과하거나 하수처리구역 밖에서 1일 오수 발생량이 2세제곱미터를 초과하여 개인하수처리시설(오수처리시설로 한정함)을 새로이 설치하여야 하는 경우
건강진단,식품영업 운영/변경,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서 또는 관련 운영 기준 담당기관; 자치구 식품위생 담당부서,food_business_report,food_hygiene,매장운영 시 유의사항; 식품위생법 제40조 건강진단,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,2,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=1&cnpClsNo=2,매장운영 시 유의사항,매장운영 시 유의사항 > 매장운영 시 유의사항,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_62a49a3590238f,커피전문점 영업자 및 그 종업원은 공중위생을 위하여 건강진단을 받아야 합니다.
건강진단 결과,영업신고 선행검사,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서,food_business_report,food_hygiene,건강진단,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=4&cciNo=1&cnpClsNo=1,건강진단,건강진단 > 건강진단의 실시 건강진단 대상자 식품 또는 식품첨가물(화학적 합성품 또는 기구 등의 살균·소독제는,easylaw_839_body_ov_csmSeq_839_ccfNo_4_cciNo_1_cnpClsNo_1,evchunk_1f12e483d67d74,영업자는 위 규정을 위반하여 건강진단을 받지 아니한 자나 건강진단 결과 타인에게 위해를 끼칠 우려가 있는 질병이 있는 자를 그 영업에 종사시키지 못합니다
건강진단 대상자 및 실시시기 고지,식품영업 운영/변경,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서 또는 관련 운영 기준 담당기관,food_business_report,food_hygiene,매장운영 시 유의사항,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=1&cnpClsNo=2,매장운영 시 유의사항,매장운영 시 유의사항 > 커피전문점 영업자 및 종업원은 건강진단을 받아야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_a266bbe2f60787,"건강진단 대상자 및 실시시기 식품 또는 식품첨가물(화학적 합성품 또는 기구 등의 살균·소독제는 제외)을 채취·제조·가공·조리·저장·운반 또는 판매하는데 직접 종사하는 영업자 및 종업원(다만, 완전 포장된 식품 또는 식품첨가물을 운반하거나 판매하는 일에 종사하는 사람은 제외)은 건강진단을 받아야 합니다. 다만, 다른 법령에 따라 같은 내용의 건강진단을 받는 경우에는 「식품위생법」 에 따른 건강진단을 받은 것으로 봅니다( 「식품위생법」 제40조 제1항 및 「식품위생법 시행규칙」 제49조 제1항). ※ 이를 위반하여 건강진단을 받지 않은 영업자는 20만원, 종업원은 10만원의 과태료가 부과됩니다( 「식품위생법」 제101조 제3항제1호, 「식…"
건강진단 시기 및 검사 항목,영업신고 선행검사,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서,food_business_report,food_hygiene,건강진단,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=4&cciNo=1&cnpClsNo=1,건강진단,건강진단 > 건강진단의 실시 건강진단 대상자 식품 또는 식품첨가물(화학적 합성품 또는 기구 등의 살균·소독제는,easylaw_839_body_ov_csmSeq_839_ccfNo_4_cciNo_1_cnpClsNo_1,evchunk_1f12e483d67d74,인쇄체크 건강진단의 실시 건강진단 대상자 식품 또는 식품첨가물(
건강진단 의무,식품영업 운영/변경,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서 또는 관련 운영 기준 담당기관,food_business_report,food_hygiene,매장운영 시 유의사항,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=1&cnpClsNo=2,매장운영 시 유의사항,매장운영 시 유의사항 > 커피전문점 영업자 및 종업원은 건강진단을 받아야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_a266bbe2f60787,인쇄체크 커피전문점 영업자 및 종업원은 건강진단을 받아야 합니다.
건강진단 의무 대상자,영업신고 선행검사,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,자치구 식품위생 담당부서,food_business_report,food_hygiene,건강진단,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=4&cciNo=1&cnpClsNo=1,건강진단,건강진단 > 건강진단의 실시 건강진단 대상자 식품 또는 식품첨가물(화학적 합성품 또는 기구 등의 살균·소독제는,easylaw_839_body_ov_csmSeq_839_ccfNo_4_cciNo_1_cnpClsNo_1,evchunk_1f12e483d67d74,건강진단의 실시 건강진단 대상자 식품 또는 식품첨가물(화학적 합성품 또는 기구 등의 살균·소독제는 제외)을 채취·제조·가공·조리·저장·운반 또는 판매하는 일에 직접 종사하는 영업자 및 그 종업원은 건강진단을 받아야 합니다
건강진단결과서,식품영업 선행검사,보건소 또는 지정 의료기관,방문 검사 후 발급,자치구 식품위생 담당부서; 자치구 식품위생 담당부서 또는 관할 세무서,food_business_report,food_hygiene,식품관련영업신고; 영업신고 및 사업자등록,영업신고 전,보건소 또는 지정 의료기관 방문; 창업자 및 종업원 인적사항 확인,2,1,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 민원인이 제출하지 않아도 되는 서류,gov24_food_business_report,evchunk_9dddfe6a5ea01c,"민원인이 제출하지 않아도 되는 서류 (담당공무원이 확인) ※민원처리에 관한 법률 제 10조(불필요한 서류 요구의 금지)에 의하여 민원인이 본인정보제공 동의 후, 담당공무원이 [행정정보공동이용서비스]를 통하여 확인 가능한 서류 토지이용계획확인서(「식품위생법 시행규칙」 제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외합니다) 건축물대장 또는 「건축법」 제22조제3항제2호에 따른 건축물의 임시사용 승인서(「식품위생법 시행규칙」 제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외합니다) 액화석유가스 사용시설완성검사증명서(「식품위생법 시행령」 제21조제8호가목의 휴게음식점영업, 같은 호 나목의 일반음식점…"
건물·설비 관련 서류,세무,국세청 홈택스 또는 관할 세무서,온라인 신고·발급 또는 세무서 방문,관할 세무서 또는 홈택스,business_registration,tax_registration,주류 면허 등에 관한 법률 제32조 세무공무원의 질문ㆍ검사 및 처분,세무 신고·납부 시,사업자등록과 거래 증빙 자료 준비,1,1,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&MST=286429&type=JSON,주류 면허 등에 관한 법률 제32조 세무공무원의 질문ㆍ검사 및 처분,주류 면허 등에 관한 법률 제32조 세무공무원의 질문ㆍ검사 및 처분,law_주류_면허_등에_관한_법률,evchunk_3ce9c969d4a830,주류 면허 등에 관한 법률 제32조 세무공무원의 질문ㆍ검사 및 처분 32 세무공무원의 질문ㆍ검사 및 처분 제32조(
건축물대장,건축물/용도 확인,정부24 또는 자치구 건축물대장 발급 창구,온라인 열람·발급 또는 방문 발급,"정부24 또는 자치구 건축물대장/건축 담당부서; 신청인, 계약 당사자, 가맹본부 또는 창업지원기관",building_register_issue,building_register_use,상가건물에 대한 확인; 커피전문점 창업,계약 전 또는 영업신고 전,점포 주소 확정 후 용도와 위반건축물 여부 확인,3,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=1&cciNo=1&cnpClsNo=1,커피전문점 창업,커피전문점 창업 > 커피전문점 창업·운영 개요 사전준비 커피전문점은 독립적으로 창업을 하는 방법과 가맹사업의 형태로 창업하는,easylaw_706_body_ov_csmSeq_706_ccfNo_1_cciNo_1_cnpClsNo_1,evchunk_fc3c8ee4291c38,"예비창업자는 점포를 계약하기 전 건축물대장, 토지대장, 토지이용계획 확인서, 등기부 등을 통해 임차하려는 건물에 문제는 없는지 확인해야 합니다."
건축물대장 또는 건축물의 임시사용 승인서,건축물/용도 확인,정부24 또는 자치구 건축물대장 발급 창구,온라인 열람·발급 또는 방문 발급,자치구 식품위생 담당부서,food_business_report,food_hygiene,식품위생법 시행규칙 제43조 신고사항의 변경,계약 전 또는 영업신고 전,점포 주소 확정 후 용도와 위반건축물 여부 확인,1,1,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&ID=007634&type=JSON,식품위생법 시행규칙 제43조 신고사항의 변경,식품위생법 시행규칙 제43조 신고사항의 변경,law_식품위생법_시행규칙,evchunk_86a8fa9cf36c47,건축물대장 또는 「건축법」 제22조제3항제2호에 따른 건축물의 임시사용 승인서(제42조제1항제10호에 따른 국유재산 사용허가서를 제출한 경우에는 제외한다)
건축물대장 확인(용도 및 위반 여부),건축물/용도 확인,정부24 또는 자치구 건축물대장 발급 창구,온라인 열람·발급 또는 방문 발급,정부24 또는 자치구 건축물대장/건축 담당부서,building_register_issue,building_register_use,,계약 전 또는 영업신고 전,계약 직전 주소 후보 확정,0,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1973&ccfNo=4&cciNo=1&cnpClsNo=1,소상공인 지원 / 사업정리 및 폐업 지원 등,소상공인 지원 / 사업정리 및 폐업 지원 등 > 폐업 ( 예정 ) 소상공인은 폐업에 필요한 컨설팅·철거비용 등을 지원받을 수 있습니다,easylaw_1973_body_v_csmSeq_1973_ccfNo_4_cciNo_1_cnpClsNo_1,evchunk_adc182d8f5f808,
"건축물대장, 토지대장, 토지이용계획확인서, 등기부",건축물/용도 확인,정부24 또는 자치구 건축물대장 발급 창구,온라인 열람·발급 또는 방문 발급,"신청인, 계약 당사자, 가맹본부 또는 창업지원기관",,,커피전문점 창업ㆍ운영,계약 전 또는 영업신고 전,점포 주소 확정 후 용도와 위반건축물 여부 확인,1,1,https://www.easylaw.go.kr/CSP/CsmMain.laf?csmSeq=706,커피전문점 창업ㆍ운영,커피전문점 창업ㆍ운영 > 커피전문점 창업·운영 개요 사전준비 커피전문점은 독립적으로 창업을 하는 방법과 가맹사업의 형태로 창업하는,easylaw_706_body_easylaw_go_kr_CSP_CsmMain_laf_csmSeq_706,evchunk_3ec2036af675ae,"예비창업자는 점포를 계약하기 전 건축물대장, 토지대장, 토지이용계획 확인서, 등기부 등을 통해 임차하려는 건물에 문제는 없는지 확인해야 합니다."
검정 필요 서류,세무/사업자등록,신청인 또는 해당 발급기관 준비,해당 민원 안내에 따라 온라인·방문·첨부 제출,관할 세무서 또는 홈택스,business_registration,tax_registration,주류 면허 등에 관한 법률 시행령 제35조 기기 등의 검정,관련 인허가 신청 전 또는 신청 시,해당 인허가의 조건과 신청인 자격 확인,1,1,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&MST=280897&type=JSON,주류 면허 등에 관한 법률 시행령 제35조 기기 등의 검정,주류 면허 등에 관한 법률 시행령 제35조 기기 등의 검정,law_주류_면허_등에_관한_법률_시행령,evchunk_18aaf7ebd40c00,"주류제조자 또는 밑술등제조자나 주류판매업자는 법 제28조에 따라 제조ㆍ저장 또는 판매에 사용하는 기계, 기구와 용기에 대하여 해당 기계 등을 사용하기 전에 관할 세무서장의 검정을 받아야 한다."
게시시설,간판/옥외광고물,정부24 또는 자치구 옥외광고물 담당부서,온라인 신청 또는 방문 제출,자치구 옥외광고물 담당부서,outdoor_ad_report,outdoor_ad,옥외광고물 설치,간판 설치 전,표시 위치·규격·도안·소유자 승낙 여부 확인,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=3&cciNo=2&cnpClsNo=2,옥외광고물 설치,옥외광고물 설치 > 옥외광고 물 등의 설치 신고 신고대상 광고물 신고를 하고 표시해야 하는 광고물은,easylaw_839_body_ov_csmSeq_839_ccfNo_3_cciNo_2_cnpClsNo_2,evchunk_72070dbbfaaa86,신고대상 게시시설 신고를 하고 표시해야 하는 게시시설은 위의 신고를 해야 하는 광고물을 설치하기 위한 게시시설로 합니다
계약서,계약/사용권 증빙,임대인·임차인·소유자·관리자 등 계약 당사자,계약 또는 승낙서 작성 후 원본/사본 준비,"신청인, 계약 당사자, 가맹본부 또는 창업지원기관",,,독립창업과 가맹사업 창업; 인테리어 공사,각 인허가 신청 전,소유자·관리인 권한 확인 후 계약 또는 승낙 확보,2,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=2&cciNo=1&cnpClsNo=1,독립창업과 가맹사업 창업,독립창업과 가맹사업 창업 > 가맹사업 창업을 하기로 결정했다면 다음 사항을 확인하세요. 관심업종에 대한 사전 조사 가맹점,easylaw_706_body_ov_csmSeq_706_ccfNo_2_cciNo_1_cnpClsNo_1,evchunk_f98efc99f1b53a,"가맹계약서의 확인 계약서상의 영업활동 조건, 영업지역 설정, 계약기간, 계약해지 사항 등 계약조문별 내용을 검토하고 표준가맹계약서와 비교합니다."
고용보험 근로자 피보험자격취득 신고서,노무/4대보험,4대사회보험 정보연계센터 또는 각 보험기관,온라인 신고 또는 기관별 제출,4대사회보험 정보연계센터 또는 국민연금/건강보험/근로복지공단/고용센터,,,4대 보험,근로자 채용 시,근로계약 및 사업장 정보 준비,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_77476cfed1f521,"√ 고용보험 근로자 피보험자격취득 신고서, 산재보험 근로자 자격취득 신고서( 「고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙」 제16조의7 제1항제1호 및 별지 제22호의5서식 )"
고용허가서 발급 관련 서류,노무/4대보험,4대사회보험 정보연계센터 또는 각 보험기관,온라인 신고 또는 기관별 제출,4대사회보험 정보연계센터 또는 국민연금/건강보험/근로복지공단/고용센터,,,근로 계약 및 채용,근로자 채용 시,근로계약 및 사업장 정보 준비,1,1,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=4&cciNo=1&cnpClsNo=1,근로 계약 및 채용,근로 계약 및 채용 > 퇴직금의 지급 퇴직금제도의 설정 퇴직금제도를 설정하려는 사용자는 계속근로기간 1년에 대해 30일분 이상의,easylaw_840_body_ov_csmSeq_840_ccfNo_4_cciNo_1_cnpClsNo_1,evchunk_5e6682b62d147a,"채용할 근로자를 선정하면 고용허가서를 발급받고( 「외국인근로자의 고용 등에 관한 법률」 제8조 제4항), 외국인근로자와 근로계약을 체결해야 해요( 「외국인근로자의 고용 등에 관한 법률」 제9조 제1항)."
